formula,Temperature,target
ZrAl3,1000,0
AlC3,1000,0
LiAl,1000,0
Al3Ru2,1000,0
Al3Tc2,1000,0
Al3Ru2,1000,0
SrAl2,1000,0
GdAl,1000,0
Al2S3,1000,0
AlPt3,1000,0
Pr3Al,1000,0
TbAl4,1000,0
EuAl,1000,0
BaAl,1000,0
Nd3Al,1000,0
AlPt3,1000,0
AlCo3,1000,0
CeAl,1000,0
Al3Cu2,1000,0
Al3Pd2,1000,0
PrAl,1000,0
AlPt,1000,0
AlPt,1000,0
PuAl3,1000,0
AlRe2,1000,0
Al2Ru,1000,0
MgAl2,1000,0
MgAl,1000,0
Mg3Al,1000,0
Mg16Al13,1000,0
Mg16Al13,1000,0
Mg3Al,1000,0
MgAl,1000,0
Ag2S,1000,0
AlO2,1000,0
MgAl2,1000,0
Sm2Al,1000,0
Sr2Al,1000,0
Dy2Al,1000,0
Er2Al,1000,0
DyAl3,1000,0
Pr2Al,1000,0
AlF3,1000,0
Tb2Al,1000,0
Pr3Al11,1000,0
PrAl4,1000,0
Al4Tc,1000,0
Nd3Al11,1000,0
MnAl12,1000,0
DyAl3,1000,0
Sr5Al9,1000,0
AlC,1000,0
AlAs,1000,0
Sc2Al,1000,0
Sm3Al,1000,0
TbAl,1000,0
Al12W,1000,0
YAl,1000,0
YAl,1000,0
YAl3,1000,0
Al2Se3,1000,0
TiAl2,1000,0
AlO2,1000,0
AlO2,1000,0
AlO3,1000,0
AlPt3,1000,0
AlP2,1000,0
AlO3,1000,0
AlCu4,1000,0
AlO3,1000,0
AlAs2,1000,0
Al5O8,1000,0
AlF3,1000,0
AlO3,1000,0
Al3Pd,1000,0
Al3Ag,1000,0
Al3Sn,1000,0
Al3Cu,1000,0
AlFe3,1000,0
AlBi3,1000,0
Al3P,1000,0
Al3Au,1000,0
Al3Ge,1000,0
Al3Sn,1000,0
AlGe3,1000,0
AlGa3,1000,0
AlCd3,1000,0
AlCu3,1000,0
AlAu3,1000,0
AlNi3,1000,0
Ag3Se,1000,0
Ag3S,1000,0
AgPb3,1000,0
Ag3Ru,1000,0
AlPb3,1000,0
AlRh3,1000,0
BeAl3,1000,0
Dy3Al,1000,0
DyAl,1000,0
Gd3Al,1000,0
HoAl3,1000,0
K3Al,1000,0
LiAg3,1000,0
Gd3Ag,1000,0
Mg149Al,1000,0
NaAl3,1000,0
Pa3Al,1000,0
Pm3Al,1000,0
Pm3Al,1000,0
PuAl3,1000,0
TbAl3,1000,0
Ag2O3,1000,0
ThAg3,1000,0
Tm3Al,1000,0
UAl3,1000,0
HoAl,1000,0
ErAl,1000,0
Al3Ru,1000,0
PrAl2,1000,0
EuAl,1000,0
SmAl5,1000,0
Al5Re24,1000,0
Ca13Al14,1000,0
Al8Fe5,1000,0
Ta2Al,1000,0
Mn5Al8,1000,0
Ta17Al12,1000,0
Mg13Al16,1000,0
Al12Ru,1000,0
Al2Mo3,1000,0
Al3Ir,1000,0
Al9Ir2,1000,0
Tb2Al17,1000,0
Al4Si19,1000,0
Sr3Al2,1000,0
MnAl,1000,0
Al2Zn,1000,0
Al2Sn,1000,0
U4Al,1000,0
Ta24Al19,1000,0
Sc4Al,1000,0
Li2Al,1000,0
Li7Al6,1000,0
Mn4Al9,1000,0
Er4Al,1000,0
Eu4Al,1000,0
Ce3Al11,1000,0
Ba4Al,1000,0
AlH6,1000,0
Al8V5,1000,0
Al11Re4,1000,0
AlH12,1000,0
Al12Fe7,1000,0
Al21Pt5,1000,0
Al19Co6,1000,0
TiAl,1000,0
TiAl3,1000,0
